nombre,categoria,sueldo_min,sueldo_max
Ayudante general,BASICO,250,400
Peón de obra,BASICO,280,450
Chalán,BASICO,300,500
Velador,BASICO,250,400

Oficial albañil,OFICIAL,400,700
Oficial fierrero,OFICIAL,450,750
Oficial carpintero,OFICIAL,450,800
Oficial yesero,OFICIAL,450,700
Oficial plomero,OFICIAL,500,900
Oficial electricista,OFICIAL,500,900
Tablaroquero,OFICIAL,500,850
Pintor,OFICIAL,400,700

Operador maquinaria ligera,TECNICO,500,800
Operador maquinaria pesada,TECNICO,700,1200
Soldador,TECNICO,600,1000
Topógrafo,TECNICO,800,1500
Instalador especializado,TECNICO,600,1200

Maestro de obra,SUPERVISION,700,1500
Residente de obra,SUPERVISION,800,1800
Supervisor,SUPERVISION,700,1500
Sobrestante,SUPERVISION,500,900

Auxiliar administrativo,ADMIN,300,600
Almacenista,ADMIN,350,700
Compras,ADMIN,500,900
