ID,Fecha,Tipo Documento,Proveedor,Proyecto,Total,Estado,Usuario Captura
646,24/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA ESTANCIA DE AYONES,1302.0,Pendiente,fidel_cordoba
647,24/10/2025,NOTA,"MATERIALES PARA CONTRUCCION Y TLAPALERIA ""AVIÑA""",LA ESTANCIA DE AYONES,5670.0,Pendiente,fidel_cordoba
644,24/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA ESTANCIA DE AYONES,98.0,Pendiente,fidel_cordoba
643,23/10/2025,NOTA,"REFACCIONARIA ""JA-JA""",LA ESTANCIA DE AYONES,1250.0,Pendiente,fidel_cordoba
548,23/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",ETZATLAN,15000.0,Pendiente,gissel
645,23/10/2025,NOTA,"REFACCIONARIA ""JA-JA""",LA ESTANCIA DE AYONES,2295.0,Pendiente,fidel_cordoba
641,22/10/2025,NOTA,EL ARRAYAN,LA ESTANCIA DE AYONES,100.0,Pendiente,fidel_cordoba
632,22/10/2025,NOTA,SERVICENTRO LLANTERO ARCINIEGA,LA ESTANCIA DE AYONES,600.0,Pendiente,fidel_cordoba
639,22/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA ESTANCIA DE AYONES,363.0,Pendiente,fidel_cordoba
642,21/10/2025,NOTA,"MATERIALES PARA CONTRUCCION Y TLAPALERIA ""AVIÑA""",LA ESTANCIA DE AYONES,1009.0,Pendiente,fidel_cordoba
636,21/10/2025,NOTA,MARIO ROMERO,LA FLORESTA,4300.0,Pendiente,fidel_cordoba
637,21/10/2025,NOTA,"MATERIALES PARA CONTRUCCION Y TLAPALERIA ""AVIÑA""",LA ESTANCIA DE AYONES,5880.0,Pendiente,fidel_cordoba
627,21/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA FLORESTA,23487.0,Pendiente,fidel_cordoba
638,21/10/2025,NOTA,"MATERIALES PARA CONTRUCCION Y TLAPALERIA ""AVIÑA""",LA ESTANCIA DE AYONES,314.0,Pendiente,fidel_cordoba
640,21/10/2025,NOTA,EL ARRAYAN,LA ESTANCIA DE AYONES,95.0,Pendiente,fidel_cordoba
624,20/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA ESTANCIA DE AYONES,7584.0,Pendiente,valeria_aux
625,20/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA FLORESTA,2450.0,Pendiente,valeria_aux
648,18/10/2025,NOTA,"REFACCIONARIA ""JA-JA""",LA ESTANCIA DE AYONES,2630.0,Pendiente,fidel_cordoba
626,18/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA ESTANCIA DE AYONES,2800.0,Pendiente,fidel_cordoba
634,17/10/2025,NOTA,"REFACCIONARIA ""JA-JA""",MINA,3420.0,Pendiente,fidel_cordoba
600,17/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA FLORESTA,221.0,Pendiente,fidel_cordoba
587,17/10/2025,NOTA,MARIO ROMERO,LA FLORESTA,3800.0,Pendiente,fidel_cordoba
593,16/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA FLORESTA,1100.0,Pendiente,fidel_cordoba
630,15/10/2025,NOTA,SERVICENTRO LLANTERO ARCINIEGA,LA ESTANCIA DE AYONES,4700.0,Pendiente,fidel_cordoba
592,15/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA FLORESTA,4720.0,Pendiente,fidel_cordoba
590,15/10/2025,NOTA,MARIO ROMERO,LA FLORESTA,3800.0,Pendiente,fidel_cordoba
591,15/10/2025,NOTA,MARIO ROMERO,LA FLORESTA,1300.0,Pendiente,fidel_cordoba
631,15/10/2025,NOTA,SERVICENTRO LLANTERO ARCINIEGA,LA ESTANCIA DE AYONES,500.0,Pendiente,fidel_cordoba
628,15/10/2025,NOTA,"REFACCIONARIA ""JA-JA""",MINA,1300.0,Pendiente,fidel_cordoba
589,15/10/2025,NOTA,MARIO ROMERO,LA FLORESTA,1500.0,Pendiente,fidel_cordoba
594,15/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA FLORESTA,3692.5,Pendiente,fidel_cordoba
595,14/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA FLORESTA,4720.0,Pendiente,fidel_cordoba
635,14/10/2025,NOTA,"REFACCIONARIA ""JA-JA""",SIN DEFINIR,5930.0,Pendiente,fidel_cordoba
629,14/10/2025,NOTA,SERVICENTRO LLANTERO ARCINIEGA,LA ESTANCIA DE AYONES,570.0,Pendiente,fidel_cordoba
586,14/10/2025,NOTA,SERVICENTRO LLANTERO ARCINIEGA,LA ESTANCIA DE AYONES,570.0,Pendiente,fidel_cordoba
584,13/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA ESTANCIA DE AYONES,174.0,Pendiente,fidel_cordoba
588,13/10/2025,NOTA,MARIO ROMERO,LA FLORESTA,3800.0,Pendiente,fidel_cordoba
578,11/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",LA FLORESTA,4015.0,Pendiente,valeria_aux
550,10/10/2025,NOTA,"FERRETERIA ""LA MICHOACANA""",HOGAR 8,72.0,Pendiente,gissel
570,10/10/2025,NOTA,"REFACCIONARIA ""JA-JA""",LA ESTANCIA DE AYONES,0.0,Pendiente,valeria_aux
