MANZANA,LOTE,M2,PRECIO,STATUS
A,1,155.1," $659,175.00 ",
A,2,119.34," $507,195.00 ",
A,3,119.32," $507,110.00 ",
A,4,119.3," $507,025.00 ",
A,5,119.34," $507,195.00 ",
A,6,119.01," $505,792.00 ",
A,7,118.26," $502,605.00 ",
A,8,118.29," $502,732.50 ",
A,9,118.93," $505,452.50 ",
A,10,118.87," $505,197.50 ",
A,11,118.83," $505,027.50 ",
A,12,118.58," $503,965.00 ",
A,13,118.82," $504,985.00 ",
A,14,118.46," $503,455.00 ",
A,15,118.96," $505,580.00 ",
A,16,119.04," $505,920.00 ",VENDIDO
A,17,130.86," $505,920.00 ",VENDIDO
B,1,120.31," $511,317.50 ",VENDIDO
B,2,120.03," $510,127.50 ",
B,3,119.07," $506,047.50 ",
B,4,121.65," $517,012.50 ",
B,5,120.03," $510,127.50 ",
B,6,119.22," $506,685.00 ",
B,7,119.17," $506,472.50 ",
B,8,119.69," $508,682.50 ",
B,9,119.9," $509,575.00 ",
B,10,119.89," $509,532.50 ",
B,11,129.09," $548,632.50 ",VENDIDO
B,12,118.41," $503,242.50 ",VENDIDO
B,13,119.08," $506,090.00 ",
B,14,119.63," $508,427.50 ",
B,15,107.46," $456,705.00 ",VENDIDO
C,1,92.53," $393,252.50 ",
C,2,94.7," $402,475.00 ",
C,3,100.29," $426,232.50 ",
C,4,102.16," $434,180.00 ",
D,1,126.27," $536,647.50 ",VENDIDO
D,2,126," $535,500.00 ",VENDIDO
D,3,126.83," $539,027.50 ",
E,1,110.69," $470,432.50 ",VENDIDO
E,2,111.46," $473,705.00 ",
E,3,109.79," $466,607.50 ",
